Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
LT6013,0.0000008,0.00000000025,,0.0000000001,107,0.0000002,0.000000018,0.000000000001,0.00000000000015,1,1600000,0.2,0.000035,0.0000000095,0.00000000025,0.000145,2.7,40,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LT6554,,,,0.000017,,,,,0.0000000000035,3,650000000,2500,0.035,0.00000002,0.00005,0.008,4,13.2,16-Lead SSOP (Narrow 0.15 Inch)
LTC2055,0.00000003,0.0000000003,,0.000000000001,120,0.0000016,,,,2,500000,0.5,0.000003,0.000000085,0.00000000015,0.00013,2.7,6,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC2055HV,0.00000003,0.0000000003,,0.000000000001,120,0.0000016,,,,2,500000,0.5,0.000003,0.000000085,0.00000000015,0.00015,2.7,11,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
AD8616,0.000007,0.0000000000005,,0.0000000000002,80,0.0000024,0.00000021,,0.00000000000005,2,24000000,12,0.00006,0.000000007,0.000000000001,0.0017,2.7,5.5,8-Lead SOIC 8-Lead MSOP
AD8672,0.0000008,0.000000012,,0.000000003,100,0.000000077,,0.000000000008,0.0000000000003,2,10000000,4,0.000075,0.0000000028,0.000000012,0.003,8,36,8-Lead SOIC 8-Lead MSOP
AD8674,0.0000008,0.000000012,,0.000000003,100,0.000000077,,0.000000000008,0.0000000000003,4,10000000,4,0.000075,0.0000000028,0.000000012,0.003,8,36,14-Lead SOIC 14-Lead TSSOP
LT6014,0.0000008,0.0000000005,,0.0000000001,107,0.0000002,0.000000018,0.000000000001,0.00000000000015,2,1600000,0.2,0.00006,0.0000000095,0.0000000004,0.000145,2.7,40,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
AD8040,,0.0000009,125000000,0.0000017,80,,0.00000037,0.000000000069,0.0000000000011,4,45000000,62,0.005,0.0000000165,0.0000028,0.0014,2.7,12,14-Lead SOIC 14-Lead TSSOP
AD8099,,0.000001,510000000,0.000006,98,,0.000000033,0.00000000035,0.0000000000026,1,3800000000,470,0.0005,0.00000000095,0.000013,0.015,5,12,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC w/ EP
AD8513,0.000005,0.000000000075,,0.000000000021,86,,0.0000001,,0.00000000000001,4,8000000,20,0.0004,0.0000000076,0.00000000008,0.0025,9,30,14-Lead SOIC 14-Lead TSSOP
