Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
MAX4223,3p,46585,1,,1G,1.1k,4m,2n,10µ,,6m,5.7,11,$5.39000 (MAX4223ESA+),9mm² (6-SOT_23-N/A) (MAX4223EUT+),"Small-Outline IC, Narrow (0.15in),6-SOT_23-N/A"
MAX4224,3p,36148,1,,600M,1.7k,4m,2n,10µ,,6m,5.7,11,$5.05000 (MAX4224ESA+T),9mm² (6-SOT_23-N/A) (MAX4224EUT+),"Small-Outline IC, Narrow (0.15in),6-SOT_23-N/A"
MAX4330,260f,1532,1,,3M,1.5,700µ,28n,65n,Both,245µ,2.4,6.5,$2.10000 (MAX4330EUK+T),9mm² (5-SOT_23-N/A) (MAX4330EUK+T),5-SOT_23-N/A
MAX4331,260f,21673,1,,3M,1.5,700µ,28n,65n,Both,245µ,2.4,6.5,$1.73000 (MAX4331ESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4331EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4332,260f,4201,2,,3M,1.5,1m,28n,65n,Both,245µ,2.4,6.5,$2.39000 (MAX4332ESA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4332ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4333,260f,2565,2,,3M,1.5,1m,28n,65n,Both,245µ,2.4,6.5,$2.58000 (MAX4333EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4333EUB+),"Small-Outline IC, Narrow (0.15in),10-MINI_SO-N/A"
LT1218L,90f,0,1,300k,,100m,90µ,33n,70n,Both,370µ,2,16,$5.65500 (LT1218LCS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1218LCS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1466L,50f,99,2,120k,,40m,390µ,45n,14n,Both,60µ,2,16,$6.84000 (LT1466LCS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1466LCS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1495,10f,143,2,2.7k,,1m,375µ,185n,1n,Both,1µ,2.1,36,$4.53000 (LT1495CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1495CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
MAX4212,1.3p,62,1,,300M,600,12m,10n,20µ,Output,5.5m,3.15,11,$3.76000 (MAX4212EUK+T),9mm² (5-SOT_23-N/A) (MAX4212EUK+),5-SOT_23-N/A
MAX4213,1.3p,17042,1,,300M,600,12m,10n,20µ,Output,5.5m,3.15,11,$2.74000 (MAX4213ESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4213EUA+T)","EVALUATION BOARDS,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4216,1.3p,10681,2,,200M,600,12m,10n,20µ,Output,5.5m,3.15,11,$4.04000 (MAX4216ESA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4216EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4218,1.3p,1212,3,,200M,600,12m,10n,20µ,Output,5.5m,3.15,11,$5.31000 (MAX4218EEE+T),30.876mm² (16-QSOP-150_MIL) (MAX4218EEE+),"16-QSOP-150_MIL,Small-Outline IC, Narrow (0.15in)"
MAX4220,1.3p,8743,4,,200M,600,12m,10n,20µ,Output,5.5m,3.15,11,$5.68000 (MAX4220EEE+T),30.876mm² (16-QSOP-150_MIL) (MAX4220EEE+T),"16-QSOP-150_MIL,Small-Outline IC, Narrow (0.15in)"
OP481,999f,522,4,105k,,28m,1.5m,85n,10n,Output,5µ,2.7,12,$6.45000 (OP481GSZ-REEL7),32.64mm² (14-Lead TSSOP) (OP481GRUZ-REEL),"14-Lead SOIC,14-Lead TSSOP"
AD8005,9.1p,14018,1,,270M,1.5k,30m,4n,10µ,,400µ,8,12,$2.89500 (AD8005ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8005ARTZ-REEL7),"8-Lead SOIC,5-Lead SOT-23"
AD8009,46p,7712,1,,1G,5.5k,5m,1.9n,150µ,,14m,5,12,$3.13500 (AD8009JRTZ-REEL),9mm² (5-Lead SOT-23) (AD8009JRTZ-REEL7),"8-Lead SOIC,5-Lead SOT-23,CHIPS OR DIE"
AD8079,2p,197,2,260M,260M,800,15m,2n,6µ,,10m,6,12,$8.53500 (AD8079ARZ-REEL7),31mm² (8-Lead SOIC) (AD8079ARZ-REEL),8-Lead SOIC
AD8531,50f,23013,1,3M,,5,25m,30n,50p,Both,1.25m,3,6,$0.46110 (AD8531ARTZ-REEL),5.28mm² (5-Lead SC70) (AD8531AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC,5-Lead SOT-23"
LT1369,70f,0,4,160k,,65m,800µ,29n,35n,Both,340µ,2,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1369CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1462,500a,0,2,175k,,130m,800µ,76n,2p,,28µ,10,40,$4.35000 (LT1462CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1462CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT2078,20f,0,2,200k,,70m,70µ,28n,8n,In to V-,35µ,2.3,44,$5.71500 (LT2078CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT2078ACS8#TRPBF),8-Lead SOIC (Narrow 0.15 Inch)
LT2079,20f,0,4,200k,,70m,110µ,28n,8n,In to V-,35µ,2.3,44,$9.64500 (LT2079CS#TRPBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT2079ACS#TRPBF),14-Lead SOIC (Narrow 0.15 Inch)
LT2178,10f,21,2,60k,,25m,70µ,49n,5n,In to V-,13µ,2.2,44,$5.71500 (LT2178CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT2178ACS8#PBF),8-Lead SOIC (Narrow 0.15 Inch)
MAX4122,400f,303,1,,5M,2,1.5m,22n,150n,Both,725µ,2.7,6.5,$1.94000 (MAX4122EUK+T),9mm² (5-SOT_23-N/A) (MAX4122EUK+),5-SOT_23-N/A
MAX4123,400f,14488,1,,5M,2,600µ,22n,150n,Both,725µ,2.7,6.5,$1.71000 (MAX4123ESA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4123EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4124,400f,161,1,,25M,10,1.5m,22n,150n,Both,725µ,2.7,6.5,$2.12000 (MAX4124EUK+T),9mm² (5-SOT_23-N/A) (MAX4124EUK+),5-SOT_23-N/A
MAX4125,400f,704,1,,25M,10,600µ,22n,150n,Both,725µ,2.7,6.5,$1.83000 (MAX4125ESA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4125ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4126,400f,470,2,,5M,2,750µ,22n,150n,Both,725µ,2.7,6.5,$2.74000 (MAX4126EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4126EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4128,400f,1442,2,,25M,10,750µ,22n,150n,Both,725µ,2.7,6.5,$2.74000 (MAX4128ESA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4128EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4130,400f,,1,,10M,4,1.5m,22n,150n,Both,1m,2.7,6.5,$2.17000 (MAX4130EUK+T),9mm² (5-SOT_23-N/A) (MAX4130EUK+),5-SOT_23-N/A
MAX4131,400f,29641,1,,10M,4,600µ,22n,150n,Both,1m,2.7,6.5,$1.97000 (MAX4131EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4131EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4132,400f,32352,2,,10M,4,750µ,22n,150n,Both,1m,2.7,6.5,$2.74000 (MAX4132EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4132EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
OP162,400f,8176,1,15M,,13,325µ,9.5n,500n,"In to V-, Output",600µ,2.7,12,$3.19500 (OP162GSZ),31mm² (8-Lead SOIC) (OP162GSZ),8-Lead SOIC
OP184,400f,21116,1,4.25M,,4,100µ,3.9n,450n,Both,2m,3,36,$2.70000 (OP184FSZ-REEL),31mm² (8-Lead SOIC) (OP184FSZ-REEL7),8-Lead SOIC
OP262,400f,9008,2,15M,,13,325µ,9.5n,500n,"In to V-, Output",775µ,2.7,12,$2.41500 (OP262DRUZ-REEL),19.84mm² (8-Lead TSSOP) (OP262HRUZ),"8-Lead SOIC,8-Lead TSSOP"
OP281,999f,118,2,105k,,28m,1.5m,75n,10n,Output,5µ,2.7,12,$4.48500 (OP281GSZ-REEL7),19.84mm² (8-Lead TSSOP) (OP281GRUZ-REEL),"8-Lead SOIC,8-Lead TSSOP"
AD8031,2.4p,23592,1,50M,80M,35,1.5m,15n,2µ,Both,900µ,2.7,12,$2.11500 (AD8031ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8031ARTZ-R2),"8-Lead PDIP,8-Lead SOIC,5-Lead SOT-23"
AD8032,2.4p,48278,2,50M,80M,35,1.5m,15n,2µ,Both,900µ,2.7,12,$3.42000 (AD8032ARMZ),31mm² (8-Lead SOIC) (AD8032ARZ-REEL7),"8-Lead PDIP,8-Lead SOIC,8-Lead MSOP,CHIPS OR DIE"
AD8072,6p,120,2,,100M,500,6m,3n,12µ,,3m,5,12,$3.31500 (AD8072ARMZ-REEL7),31mm² (8-Lead SOIC) (AD8072JRZ-REEL7),"8-Lead PDIP,8-Lead SOIC,8-Lead MSOP"
AD8073,6p,30,3,,100M,500,6m,3n,12µ,,3m,5,12,$4.30500 (AD8073JRZ-REEL),54.25mm² (14-Lead SOIC) (AD8073JRZ-REEL),14-Lead SOIC
AD8534,50f,458,4,3M,,5,25m,30n,50p,Both,1.25m,3,6,$0.98368 (AD8534ARZ-REEL),32.64mm² (14-Lead TSSOP) (AD8534ARUZ),"14-Lead SOIC,14-Lead TSSOP"
LT1210,2p,123,1,,66M,900,15m,3n,,,35m,8,36,$12.64500 (LT1210CT7#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1210CS#PBF),"7-Lead TO-220 (Flow 06),7-Lead TO-220,7-Lead DD Pak,7-Lead TO-220 (Flow 44),7-Lead TO-220 (Flow 37),16-Lead SOIC (Narrow 0.15 Inch)"
LT1351,500f,2180,1,3M,,200,600µ,14n,50n,,250µ,5,36,$4.53000 (LT1351CN8#PBF),14.7mm² (8-Lead MSOP) (LT1351CMS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP"
LT1463,500a,0,4,175k,,130m,800µ,76n,2p,,28µ,10,40,$8.50500 (LT1463CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1463CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT1465,400a,12,4,1M,,900m,800µ,24n,2p,,145µ,10,40,$7.39500 (LT1465CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1465CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
OP196,190f,200,1,450k,,300m,300µ,26n,50n,Both,60µ,3,12,$2.95500 (OP196GSZ-REEL),31mm² (8-Lead SOIC) (OP196GSZ-REEL),8-Lead SOIC
OP462,400f,1507,4,15M,,13,325µ,9.5n,500n,"In to V-, Output",775µ,2.7,12,$7.38000 (OP462GSZ-REEL7),32.64mm² (14-Lead TSSOP) (OP462HRUZ-REEL),"14-Lead SOIC,14-Lead TSSOP"
AD8532,50f,10345,2,3M,,5,25m,30n,50p,Both,1.25m,3,6,$0.73140 (AD8532ARZ-REEL),19.84mm² (8-Lead TSSOP) (AD8532ARUZ),"8-Lead SOIC,8-Lead MSOP,8-Lead TSSOP"
LT1353,500f,0,4,3M,,200,600µ,14n,50n,,250µ,5,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1353CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1464,400a,0,2,1M,,900m,800µ,24n,2p,,145µ,10,40,$4.02000 (LT1464CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1464ACS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1207,2p,0,2,,66M,900,10m,3.6n,,,20m,10,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1207CS#PBF),16-Lead SOIC (Narrow 0.15 Inch)
LT1352,500f,519,2,3M,,200,600µ,14n,50n,,250µ,5,36,$6.67500 (LT1352CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1352CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1498,300f,59,2,10.5M,,4.5,475µ,12n,650n,Both,1.7m,2.2,36,$5.07000 (LT1498CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1498IS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1499,300f,0,4,10.5M,,4.5,475µ,12n,650n,Both,1.7m,2.2,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1499IS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT2179,10f,1,4,60k,,25m,100µ,49n,5n,In to V-,13µ,2.2,44,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT2179IS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
AD8004,38p,130,4,,250M,3k,3.5m,1.5n,110µ,,14m,4,12,$8.38500 (AD8004ARZ-14),54.25mm² (14-Lead SOIC) (AD8004ARZ-14),14-Lead SOIC
AD8013,12p,19,3,,140M,1k,5m,3.5n,15µ,,3.5m,4.2,13,,54.25mm² (14-Lead SOIC) (AD8013ARZ-14-RL),"14-Lead SOIC,CHIPS OR DIE"
AD8042,700f,16171,2,90M,170M,225,9.8m,15n,3.2µ,Output,6m,3,12,$3.93000 (AD8042ARZ),31mm² (8-Lead SOIC) (AD8042ARZ-REEL7),"8-Lead SOIC,CHIPS OR DIE"
AD8044,900f,212,4,90M,160M,190,6.5m,16n,4.5µ,"In to V-, Output",2.875m,3,12,$6.93000 (AD8044ARZ-14),54.25mm² (14-Lead SOIC) (AD8044ARZ-14-REEL),"14-Lead PDIP,14-Lead SOIC"
OP296,190f,16816,2,450k,,300m,300µ,26n,50n,Both,60µ,3,12,$3.30000 (OP296GSZ-REEL),19.84mm² (8-Lead TSSOP) (OP296HRUZ-REEL),"8-Lead SOIC,8-Lead TSSOP"
AD8041,600f,8993,1,160M,170M,170,7m,16n,3.2µ,"In to V-, Output",5.8m,3,12,$3.18000 (AD8041ARZ),31mm² (8-Lead SOIC) (AD8041ARZ-REEL),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC"
AD8041S,,,1,160M,,,9.5m,,3.4µ,"In to V-, Output",,3,12,,83.6577mm² (8-Lead CerDIP) (5962R9683902VPA),"8-Lead CerDIP,CERPAK(HERM CER SRF MOUNT),CHIPS OR DIE,CER. FLATPACK WITH LEADS"
AD823,1f,13242,2,10M,16M,25,3.5m,16n,30p,"In to V-, Output",5.2m,3,36,$5.01000 (AD823ARZ-R7),31mm² (8-Lead SOIC) (AD823ARZ-RL),"8-Lead PDIP,8-Lead SOIC"
LT1367,70f,0,4,400k,,130m,800µ,29n,35n,Both,340µ,2,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1367CS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1368,70f,0,2,160k,,65m,475µ,29n,35n,Both,340µ,2,36,$6.37500 (LT1368CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1368CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP484,400f,10431,4,4.25M,,4,100µ,3.9n,450n,Both,,3,36,$10.78500 (OP484FSZ-REEL7),54.25mm² (14-Lead SOIC) (OP484ESZ),"14-Lead PDIP,14-Lead SOIC"
OP484S,,,4,,,,200µ,,350n,Both,,3,36,,,"CERPAK(HERM CER SRF MOUNT),CHIPS OR DIE,CERDIP GLASS SEAL"
OP496,190f,1223,4,450k,,300m,300µ,26n,50n,Both,60µ,3,12,$4.44000 (OP496GSZ),32.64mm² (14-Lead TSSOP) (OP496HRUZ-REEL),"14-Lead SOIC,14-Lead TSSOP"
AD8002,2p,755,2,,600M,1.2k,6m,2n,25µ,,10m,6,12,$5.11500 (AD8002ARMZ),31mm² (8-Lead SOIC) (AD8002ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8011,5p,7500,1,,400M,1.1k,5m,2n,15µ,,1m,3,12,$3.73500 (AD8011ARZ),31mm² (8-Lead SOIC) (AD8011ARZ),"8-Lead PDIP,8-Lead SOIC"
OP284,400f,75226,2,4.25M,,4,100µ,3.9n,450n,Both,2m,2,36,$5.59500 (OP284FSZ-REEL7),31mm² (8-Lead SOIC) (OP284TRZ-EP-R7),"CHIPS OR DIE,8-Lead PDIP,8-Lead SOIC"
OP293,50f,521,2,35k,,15m,250µ,65n,20n,In to V-,30µ,1.7,36,$5.04000 (OP293FSZ-REEL7),31mm² (8-Lead SOIC) (OP293ESZ),8-Lead SOIC
AD8047,1p,206,1,110M,250M,750,3m,5.2n,3.5µ,,5.8m,6,12,$4.11000 (AD8047ARZ),31mm² (8-Lead SOIC) (AD8047ARZ),"8-Lead PDIP,8-Lead SOIC"
AD8048,1p,19,1,120M,260M,1k,3m,3.8n,3.5µ,,5.9m,6,12,$4.11000 (AD8048ARZ),31mm² (8-Lead SOIC) (AD8048ARZ-REEL7),8-Lead SOIC
AD824,1.1f,17185,4,2M,,2,2.5m,16n,35p,"In to V-, Output",560µ,2.7,30,$9.87000 (AD824ARZ-14-3V),54.25mm² (14-Lead SOIC) (AD824ARZ-14),14-Lead SOIC
OP193,50f,8955,1,35k,,15m,150µ,65n,15n,In to V-,30µ,1.7,36,$3.58500 (OP193FSZ),31mm² (8-Lead SOIC) (OP193FSZ),8-Lead SOIC
AD8036,2.2p,5019,1,110M,240M,1.2k,7m,6.7n,10µ,,20.5m,6,12,$9.48000 (AD8036ARZ),31mm² (8-Lead SOIC) (AD8036ARZ),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
AD8037,2.1p,658,1,140M,270M,1.5k,7m,4.5n,9µ,,18.5m,6,12,$18.37500 (AD8037SRZ-EP),31mm² (8-Lead SOIC) (AD8037ARZ-REEL),"8-Lead SOIC,CHIPS OR DIE"
LT1354,600f,701,1,12M,,400,800µ,10n,300n,,1m,5,36,$4.18500 (LT1354CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1354CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1357,800f,0,1,25M,,600,600µ,8n,500n,,2m,5,36,$3.93000 (LT1357CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1357CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP191,800f,1610,1,3M,,500m,500µ,42n,65n,Both,420µ,2.7,12,$3.85500 (OP191GSZ-REEL),31mm² (8-Lead SOIC) (OP191GSZ-REEL),8-Lead SOIC
OP279,1p,9661,2,5M,,3,4m,22n,300n,Both,3.5m,4.5,12,$2.61000 (OP279GSZ-REEL),19.84mm² (8-Lead TSSOP) (OP279GRUZ-REEL),"8-Lead SOIC,8-Lead TSSOP"
AD9631,2.5p,832,1,110M,320M,1.3k,10m,7n,7µ,,17m,6,12,$8.65500 (AD9631ARZ-REEL),31mm² (8-Lead SOIC) (AD9631ARZ),"8-Lead PDIP,8-Lead SOIC,CHIPS OR DIE"
AD9632,2p,19,1,130M,250M,1.5k,5m,4.3n,7µ,,16m,6,12,,31mm² (8-Lead SOIC) (AD9632ARZ),8-Lead SOIC
LT1169,1f,16,2,5.3M,,4.2,2m,6n,20p,,5.3m,9,40,$6.81000 (LT1169CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1169CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1361,900f,12,2,50M,,800,1m,9n,1µ,,3.8m,5,36,$5.46000 (LT1361CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1361CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1362,900f,0,4,50M,,800,1m,9n,1µ,,3.8m,5,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1362CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1364,1p,165,2,70M,,1k,1.5m,9n,1µ,,6m,3,36,$5.94000 (LT1364CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1364CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1365,1p,0,4,70M,,1k,1.5m,9n,2µ,,6m,3,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1365CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
AD8001,18p,880,1,,880M,1.2k,5.5m,2n,25µ,,5m,6,12,$2.79000 (AD8001ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8001ARTZ-REEL7),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,5-Lead SOT-23,CHIPS OR DIE"
AD8001S,,,1,,880M,,5.5m,,25µ,,,6,12,,83.6577mm² (8-Lead CerDIP) (5962R9459301VPA),"8-Lead CerDIP,CERPAK(HERM CER SRF MOUNT)"
LT1251,1.5p,10,1,,40M,300,5m,2.7n,30µ,,13.5m,5,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1251CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT1256,1.5p,9,1,,40M,300,5m,2.7n,,,13.5m,5,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1256CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT1457,1.5f,7,2,1M,,4,450µ,13n,500p,,1.8m,9,40,$3.76500 (LT1457CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1457S8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1152,600f,247,1,700k,,500m,10µ,100n,100p,Both,2.2m,3,14,$5.80500 (LTC1152CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LTC1152CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP291,800f,10692,2,3M,,500m,700µ,35n,65n,Both,420µ,2.7,12,$4.11000 (OP291GSZ-REEL7),31mm² (8-Lead SOIC) (OP291GSZ-REEL),8-Lead SOIC
OP491,800f,8506,4,3M,,500m,700µ,42n,65n,Both,200µ,2.7,12,$7.59000 (OP491GSZ),32.64mm² (14-Lead TSSOP) (OP491GRUZ-REEL),"14-Lead PDIP,14-Lead SOIC,14-Lead TSSOP"
LT1203,,0,1,150M,,300,30m,,5µ,,10m,9,36,$3.06000 (LT1203CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1203CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1205,,0,2,150M,,300,30m,,5µ,,10m,9,36,$4.90500 (LT1205CS#TRPBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1205CS#PBF),16-Lead SOIC (Narrow 0.15 Inch)
LT1366,70f,495,2,400k,,130m,475µ,29n,35n,Both,340µ,2,36,$6.46500 (LT1366CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1366CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
AD812,1.5p,16591,2,,145M,250,5m,3.5n,25µ,,4.5m,2.4,36,$5.77500 (AD812ARZ),31mm² (8-Lead SOIC) (AD812ARZ),"8-Lead PDIP,8-Lead SOIC"
AD813,1.5p,128,3,,100M,450,5m,3.5n,30µ,,,2.4,36,,54.25mm² (14-Lead SOIC) (AD813ARZ-14),"14-Lead PDIP,14-Lead SOIC,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE"
LT1113,10f,10,2,5.6M,,3.9,1.5m,4.5n,450p,,5.3m,9,40,$5.56500 (LT1113CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1113CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1204,1.5p,0,1,,95M,1k,14m,7n,,,19m,9,36,$9.81000 (LT1204CSW#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1204CSW#TRPBF),"16-Lead PDIP (Narrow 0.30 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1259,1.3p,22,2,,130M,1.6k,12m,3.6n,,,5m,4,36,$4.81500 (LT1259CS#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1259CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT1260,1.3p,158,3,,130M,1.6k,12m,3.6n,,,5m,4,36,$4.80000 (LT1260CN#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1260IS#TRPBF),"16-Lead PDIP (Narrow 0.30 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1355,600f,0,2,12M,,400,800µ,10n,300n,,1m,5,36,$6.10500 (LT1355CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1355CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1356,600f,24,4,12M,,400,800µ,10n,300n,,1m,5,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1356CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
